country,year,nitrous_oxide,co2_emissions,greenhouse_gas_emissions,agricultural_land,total_population,population_growth,renewable_energy_consumption,urban_population,GDP,renewable_electricity
Argentina,2020,51061.49889,,,,,,,,,
Argentina,2019,49875.87787,,,,,,,,,
Argentina,2018,47884.22344,,,,,,,,,
Argentina,2017,48583.77542,,,,,,,,,
Argentina,2016,45959.5346,,,,,,,,,
Argentina,2015,43040.15198,,,,,,,,,
Argentina,2014,43399.01415,,,,,,,,,
Argentina,2013,43058.52932,,,,,,,,,
Argentina,2012,41611.2869,,,,,,,,,
Argentina,2011,42143.05607,,,,,,,,,
Argentina,2010,41008.30565,,,,,,,,,
Argentina,2009,39791.09806,,,,,,,,,
Argentina,2008,45381.24227,,,,,,,,,
Argentina,2007,46711.05108,,,,,,,,,
Argentina,2006,44294.25029,,,,,,,,,
Argentina,2005,42938.8839,,,,,,,,,
Argentina,2004,43316.96888,,,,,,,,,
Argentina,2003,43089.99286,,,,,,,,,
Argentina,2002,39168.85204,,,,,,,,,
Argentina,2001,38634.36102,,,,,,,,,
Argentina,2000,38831.5776,,,,,,,,,
Argentina,1999,36766.63973,,,,,,,,,
Argentina,1998,36596.13067,,,,,,,,,
Argentina,1997,36935.9286,,,,,,,,,
Argentina,1996,36617.09207,,,,,,,,,
Argentina,1995,36238.14573,,,,,,,,,
Argentina,1994,36190.7286,,,,,,,,,
Argentina,1993,35235.4912,,,,,,,,,
Argentina,1992,35708.7228,,,,,,,,,
Argentina,1991,34978.284,,,,,,,,,
Argentina,1990,35099.886,,,,,,,,,
Australia,2020,49331.81586,,,,,,,,,
Australia,2019,61687.22811,,,,,,,,,
Australia,2018,76864.12277,,,,,,,,,
Australia,2017,79510.16522,,,,,,,,,
Australia,2016,57394.67087,,,,,,,,,
Australia,2015,71867.32307,,,,,,,,,
Australia,2014,75396.66345,,,,,,,,,
Australia,2013,63037.21868,,,,,,,,,
Australia,2012,106572.7383,,,,,,,,,
Australia,2011,107222.3762,,,,,,,,,
Australia,2010,54166.34483,,,,,,,,,
Australia,2009,65146.27764,,,,,,,,,
Australia,2008,61414.60844,,,,,,,,,
Australia,2007,76891.26813,,,,,,,,,
Australia,2006,81734.7535,,,,,,,,,
Australia,2005,62237.14956,,,,,,,,,
Australia,2004,85058.00977,,,,,,,,,
Australia,2003,61284.6931,,,,,,,,,
Australia,2002,101559.3034,,,,,,,,,
Australia,2001,108725.2094,,,,,,,,,
Australia,2000,98386.78327,,,,,,,,,
Australia,1999,90321.14751,,,,,,,,,
Australia,1998,73356.71063,,,,,,,,,
Australia,1997,68945.89098,,,,,,,,,
Australia,1996,69990.51567,,,,,,,,,
Australia,1995,74304.459,,,,,,,,,
Australia,1994,74511.03717,,,,,,,,,
Australia,1993,74720.5219,,,,,,,,,
Australia,1992,75000.1265,,,,,,,,,
Australia,1991,75891.69252,,,,,,,,,
Australia,1990,76884.97997,,,,,,,,,
"Congo, Rep.",2020,1610.016398,,,,,,,,,
"Congo, Rep.",2019,1777.594051,,,,,,,,,
"Congo, Rep.",2018,1776.387703,,,,,,,,,
"Congo, Rep.",2017,1729.239756,,,,,,,,,
"Congo, Rep.",2016,1766.389008,,,,,,,,,
"Congo, Rep.",2015,1769.782261,,,,,,,,,
"Congo, Rep.",2014,1572.255668,,,,,,,,,
"Congo, Rep.",2013,1788.191274,,,,,,,,,
"Congo, Rep.",2012,1708.032681,,,,,,,,,
"Congo, Rep.",2011,1746.710088,,,,,,,,,
"Congo, Rep.",2010,1683.885694,,,,,,,,,
"Congo, Rep.",2009,1457.473318,,,,,,,,,
"Congo, Rep.",2008,1530.543742,,,,,,,,,
"Congo, Rep.",2007,1519.517167,,,,,,,,,
"Congo, Rep.",2006,1679.559791,,,,,,,,,
"Congo, Rep.",2005,1633.007815,,,,,,,,,
"Congo, Rep.",2004,1408.516781,,,,,,,,,
"Congo, Rep.",2003,1333.305147,,,,,,,,,
"Congo, Rep.",2002,884.553114,,,,,,,,,
"Congo, Rep.",2001,639.77568,,,,,,,,,
"Congo, Rep.",2000,571.758447,,,,,,,,,
"Congo, Rep.",1999,668.998433,,,,,,,,,
"Congo, Rep.",1998,664.82162,,,,,,,,,
"Congo, Rep.",1997,638.800006,,,,,,,,,
"Congo, Rep.",1996,608.292593,,,,,,,,,
"Congo, Rep.",1995,1238.54058,,,,,,,,,
"Congo, Rep.",1994,1234.817483,,,,,,,,,
"Congo, Rep.",1993,1222.955253,,,,,,,,,
"Congo, Rep.",1992,1220.779823,,,,,,,,,
"Congo, Rep.",1991,1221.681793,,,,,,,,,
"Congo, Rep.",1990,1215.926362,,,,,,,,,
Colombia,2020,23778.21405,,,,,,,,,
Colombia,2019,22577.39139,,,,,,,,,
Colombia,2018,22058.24292,,,,,,,,,
Colombia,2017,20958.15505,,,,,,,,,
Colombia,2016,19828.20159,,,,,,,,,
Colombia,2015,19572.09792,,,,,,,,,
Colombia,2014,20225.96126,,,,,,,,,
Colombia,2013,19446.17021,,,,,,,,,
Colombia,2012,19816.35035,,,,,,,,,
Colombia,2011,20920.4349,,,,,,,,,
Colombia,2010,21789.19984,,,,,,,,,
Colombia,2009,20977.20783,,,,,,,,,
Colombia,2008,21145.41802,,,,,,,,,
Colombia,2007,21332.75601,,,,,,,,,
Colombia,2006,19939.34839,,,,,,,,,
Colombia,2005,19833.89378,,,,,,,,,
Colombia,2004,20449.8774,,,,,,,,,
Colombia,2003,20060.7774,,,,,,,,,
Colombia,2002,19330.0064,,,,,,,,,
Colombia,2001,19060.5584,,,,,,,,,
Colombia,2000,18555.6042,,,,,,,,,
Colombia,1999,18077.97954,,,,,,,,,
Colombia,1998,18763.25289,,,,,,,,,
Colombia,1997,18427.17043,,,,,,,,,
Colombia,1996,18434.97018,,,,,,,,,
Colombia,1995,18647.62172,,,,,,,,,
Colombia,1994,18569.56592,,,,,,,,,
Colombia,1993,18322.0034,,,,,,,,,
Colombia,1992,17998.49027,,,,,,,,,
Colombia,1991,18038.21674,,,,,,,,,
Colombia,1990,18054.72721,,,,,,,,,
Dominican Republic,2020,3395.510707,,,,,,,,,
Dominican Republic,2019,3404.53699,,,,,,,,,
Dominican Republic,2018,3409.242672,,,,,,,,,
Dominican Republic,2017,3266.713355,,,,,,,,,
Dominican Republic,2016,3193.500238,,,,,,,,,
Dominican Republic,2015,3116.959521,,,,,,,,,
Dominican Republic,2014,2975.82651,,,,,,,,,
Dominican Republic,2013,2939.439299,,,,,,,,,
Dominican Republic,2012,2932.605288,,,,,,,,,
Dominican Republic,2011,3015.619077,,,,,,,,,
Dominican Republic,2010,3043.375666,,,,,,,,,
Dominican Republic,2009,2910.558959,,,,,,,,,
Dominican Republic,2008,2840.960853,,,,,,,,,
Dominican Republic,2007,2887.362146,,,,,,,,,
Dominican Republic,2006,2696.09524,,,,,,,,,
Dominican Republic,2005,2535.213734,,,,,,,,,
Dominican Republic,2004,2526.625267,,,,,,,,,
Dominican Republic,2003,2325.9774,,,,,,,,,
Dominican Republic,2002,2442.962333,,,,,,,,,
Dominican Republic,2001,2147.414667,,,,,,,,,
Dominican Republic,2000,2006.4514,,,,,,,,,
Dominican Republic,1999,2069.4392,,,,,,,,,
Dominican Republic,1998,2272.5748,,,,,,,,,
Dominican Republic,1997,2283.553019,,,,,,,,,
Dominican Republic,1996,2212.243038,,,,,,,,,
Dominican Republic,1995,2115.244457,,,,,,,,,
Dominican Republic,1994,2088.902754,,,,,,,,,
Dominican Republic,1993,2035.17785,,,,,,,,,
Dominican Republic,1992,2018.167546,,,,,,,,,
Dominican Republic,1991,2058.345442,,,,,,,,,
Dominican Republic,1990,1924.514739,,,,,,,,,
Haiti,2020,1533.386585,,,,,,,,,
Haiti,2019,1521.249142,,,,,,,,,
Haiti,2018,1511.666298,,,,,,,,,
Haiti,2017,1561.166255,,,,,,,,,
Haiti,2016,1590.870411,,,,,,,,,
Haiti,2015,1554.812568,,,,,,,,,
Haiti,2014,1533.026783,,,,,,,,,
Haiti,2013,1513.163597,,,,,,,,,
Haiti,2012,1496.527612,,,,,,,,,
Haiti,2011,1505.056027,,,,,,,,,
Haiti,2010,1497.312842,,,,,,,,,
Haiti,2009,1480.686678,,,,,,,,,
Haiti,2008,1463.727515,,,,,,,,,
Haiti,2007,1468.833751,,,,,,,,,
Haiti,2006,1447.397187,,,,,,,,,
Haiti,2005,1448.571024,,,,,,,,,
Haiti,2004,1440.745419,,,,,,,,,
Haiti,2003,1445.467614,,,,,,,,,
Haiti,2002,1439.18901,,,,,,,,,
Haiti,2001,1432.608405,,,,,,,,,
Haiti,2000,1428.923,,,,,,,,,
Haiti,1999,1294.9686,,,,,,,,,
Haiti,1998,1287.4702,,,,,,,,,
Haiti,1997,1226.4636,,,,,,,,,
Haiti,1996,1202.5652,,,,,,,,,
Haiti,1995,1126.089,,,,,,,,,
Haiti,1994,1107.8006,,,,,,,,,
Haiti,1993,1112.747057,,,,,,,,,
Haiti,1992,1161.048313,,,,,,,,,
Haiti,1991,1034.68117,,,,,,,,,
Haiti,1990,977.220226,,,,,,,,,
St. Lucia,2020,27.377315,,,,,,,,,
St. Lucia,2019,27.733738,,,,,,,,,
St. Lucia,2018,27.106761,,,,,,,,,
St. Lucia,2017,27.135384,,,,,,,,,
St. Lucia,2016,27.789807,,,,,,,,,
St. Lucia,2015,28.68263,,,,,,,,,
St. Lucia,2014,28.104328,,,,,,,,,
St. Lucia,2013,26.185025,,,,,,,,,
St. Lucia,2012,27.215922,,,,,,,,,
St. Lucia,2011,26.220419,,,,,,,,,
St. Lucia,2010,26.804317,,,,,,,,,
St. Lucia,2009,25.863259,,,,,,,,,
St. Lucia,2008,25.130801,,,,,,,,,
St. Lucia,2007,25.739343,,,,,,,,,
St. Lucia,2006,25.781686,,,,,,,,,
St. Lucia,2005,26.300828,,,,,,,,,
St. Lucia,2004,25.349742,,,,,,,,,
St. Lucia,2003,26.514457,,,,,,,,,
St. Lucia,2002,24.103171,,,,,,,,,
St. Lucia,2001,22.645486,,,,,,,,,
St. Lucia,2000,28.1908,,,,,,,,,
St. Lucia,1999,28.198663,,,,,,,,,
St. Lucia,1998,29.130327,,,,,,,,,
St. Lucia,1997,23.77419,,,,,,,,,
St. Lucia,1996,24.497253,,,,,,,,,
St. Lucia,1995,24.117716,,,,,,,,,
St. Lucia,1994,26.219968,,,,,,,,,
St. Lucia,1993,28.441419,,,,,,,,,
St. Lucia,1992,34.56667,,,,,,,,,
St. Lucia,1991,35.298122,,,,,,,,,
St. Lucia,1990,31.350973,,,,,,,,,
Peru,2020,10200.52324,,,,,,,,,
Peru,2019,10358.17967,,,,,,,,,
Peru,2018,9761.006105,,,,,,,,,
Peru,2017,10216.08614,,,,,,,,,
Peru,2016,9950.615369,,,,,,,,,
Peru,2015,9884.800201,,,,,,,,,
Peru,2014,9635.844113,,,,,,,,,
Peru,2013,9742.149024,,,,,,,,,
Peru,2012,9679.375936,,,,,,,,,
Peru,2011,9611.688247,,,,,,,,,
Peru,2010,9439.443158,,,,,,,,,
Peru,2009,9567.193185,,,,,,,,,
Peru,2008,9049.687412,,,,,,,,,
Peru,2007,9150.888838,,,,,,,,,
Peru,2006,8733.546865,,,,,,,,,
Peru,2005,8537.081492,,,,,,,,,
Peru,2004,8529.199994,,,,,,,,,
Peru,2003,8477.401695,,,,,,,,,
Peru,2002,8394.940797,,,,,,,,,
Peru,2001,8183.490298,,,,,,,,,
Peru,2000,8184.7072,,,,,,,,,
Peru,1999,7893.704042,,,,,,,,,
Peru,1998,7571.973484,,,,,,,,,
Peru,1997,7272.072726,,,,,,,,,
Peru,1996,7130.828368,,,,,,,,,
Peru,1995,6934.62261,,,,,,,,,
Peru,1994,6541.448832,,,,,,,,,
Peru,1993,5969.839154,,,,,,,,,
Peru,1992,5767.916275,,,,,,,,,
Peru,1991,5821.772397,,,,,,,,,
Peru,1990,6008.671318,,,,,,,,,
Portugal,2020,3092.139079,,,,,,,,,
Portugal,2019,3157.767575,,,,,,,,,
Portugal,2018,3123.42347,,,,,,,,,
Portugal,2017,3252.910965,,,,,,,,,
Portugal,2016,3175.29626,,,,,,,,,
Portugal,2015,3231.970075,,,,,,,,,
Portugal,2014,3248.329158,,,,,,,,,
Portugal,2013,3114.657632,,,,,,,,,
Portugal,2012,3107.369328,,,,,,,,,
Portugal,2011,3092.128853,,,,,,,,,
Portugal,2010,3362.300842,,,,,,,,,
Portugal,2009,3414.897805,,,,,,,,,
Portugal,2008,3691.780083,,,,,,,,,
Portugal,2007,3791.249598,,,,,,,,,
Portugal,2006,3623.171571,,,,,,,,,
Portugal,2005,3659.408899,,,,,,,,,
Portugal,2004,3706.674825,,,,,,,,,
Portugal,2003,3718.181222,,,,,,,,,
Portugal,2002,3721.630004,,,,,,,,,
Portugal,2001,3707.855172,,,,,,,,,
Portugal,2000,4002.437978,,,,,,,,,
Portugal,1999,3998.679836,,,,,,,,,
Portugal,1998,4029.696089,,,,,,,,,
Portugal,1997,3880.523474,,,,,,,,,
Portugal,1996,3925.183902,,,,,,,,,
Portugal,1995,3826.789413,,,,,,,,,
Portugal,1994,3688.488022,,,,,,,,,
Portugal,1993,3730.116126,,,,,,,,,
Portugal,1992,3834.633403,,,,,,,,,
Portugal,1991,3925.652866,,,,,,,,,
Portugal,1990,4021.037011,,,,,,,,,
Somalia,2020,6548.950079,,,,,,,,,
Somalia,2019,6526.808863,,,,,,,,,
Somalia,2018,6370.955046,,,,,,,,,
Somalia,2017,6405.374229,,,,,,,,,
Somalia,2016,6490.870612,,,,,,,,,
Somalia,2015,6533.901995,,,,,,,,,
Somalia,2014,6551.676649,,,,,,,,,
Somalia,2013,6541.826702,,,,,,,,,
Somalia,2012,6518.745556,,,,,,,,,
Somalia,2011,6443.127009,,,,,,,,,
Somalia,2010,6423.085462,,,,,,,,,
Somalia,2009,6368.559799,,,,,,,,,
Somalia,2008,6373.693736,,,,,,,,,
Somalia,2007,6379.453472,,,,,,,,,
Somalia,2006,6848.126409,,,,,,,,,
Somalia,2005,7308.067945,,,,,,,,,
Somalia,2004,7158.156737,,,,,,,,,
Somalia,2003,7065.19333,,,,,,,,,
Somalia,2002,6996.427522,,,,,,,,,
Somalia,2001,6909.543315,,,,,,,,,
Somalia,2000,6754.804507,,,,,,,,,
Somalia,1999,6689.526157,,,,,,,,,
Somalia,1998,6740.408207,,,,,,,,,
Somalia,1997,6873.568057,,,,,,,,,
Somalia,1996,6731.524908,,,,,,,,,
Somalia,1995,6578.008758,,,,,,,,,
Somalia,1994,6388.902516,,,,,,,,,
Somalia,1993,5701.480674,,,,,,,,,
Somalia,1992,5008.426631,,,,,,,,,
Somalia,1991,5703.069189,,,,,,,,,
Somalia,1990,6725.839547,,,,,,,,,
Serbia,2020,4373.700238,,,,,,,,,
Serbia,2019,4089.660916,,,,,,,,,
Serbia,2018,3481.141394,,,,,,,,,
Serbia,2017,3951.131472,,,,,,,,,
Serbia,2016,4258.69455,,,,,,,,,
Serbia,2015,3915.017028,,,,,,,,,
Serbia,2014,4135.357858,,,,,,,,,
Serbia,2013,4886.172087,,,,,,,,,
Serbia,2012,4877.785317,,,,,,,,,
Serbia,2011,4376.437346,,,,,,,,,
Serbia,2010,4256.961576,,,,,,,,,
Serbia,2009,5069.968276,,,,,,,,,
Serbia,2008,4475.018975,,,,,,,,,
Serbia,2007,4978.477875,,,,,,,,,
Serbia,2006,4698.307775,,,,,,,,,
Serbia,2005,4949.31471,,,,,,,,,
Serbia,2004,5217.538431,,,,,,,,,
Serbia,2003,4067.575329,,,,,,,,,
Serbia,2002,4264.257203,,,,,,,,,
Serbia,2001,4281.997043,,,,,,,,,
Serbia,2000,3752.843548,,,,,,,,,
